n,k,oc,m3,m5,m7,m11,m13,m17,m19,m23,m29,m31,m37,m41,m43,m47,m53,m59,m61,m67,m71,m73
302,1,151,1,1,4,8,8,15,18,13,6,27,3,28,22,10,45,33,29,17,9,5
303,0,303,0,3,2,6,4,14,18,4,13,24,7,16,2,21,38,8,59,35,19,11
304,4,19,1,4,5,8,6,2,0,19,19,19,19,19,19,19,19,19,19,19,19,19
305,0,305,2,0,4,8,6,16,1,6,15,26,9,18,4,23,40,10,0,37,21,13
306,1,153,0,3,6,10,10,0,1,15,8,29,5,30,24,12,47,35,31,19,11,7
307,0,307,1,2,6,10,8,1,3,8,17,28,11,20,6,25,42,12,2,39,23,15
308,2,77,2,2,0,0,12,9,1,8,19,15,3,36,34,30,24,18,16,10,6,4
309,0,309,0,4,1,1,10,3,5,10,19,30,13,22,8,27,44,14,4,41,25,17
310,1,155,2,0,1,1,12,2,3,17,10,0,7,32,26,14,49,37,33,21,13,9
311,0,311,2,1,3,3,12,5,7,12,21,1,15,24,10,29,46,16,6,43,27,19
312,3,39,0,4,4,6,0,5,1,16,10,8,2,39,39,39,39,39,39,39,39,39
313,0,313,1,3,5,5,1,7,9,14,23,3,17,26,12,31,48,18,8,45,29,21
314,1,157,1,2,3,3,1,4,5,19,12,2,9,34,28,16,51,39,35,23,15,11
315,0,315,0,0,0,7,3,9,11,16,25,5,19,28,14,33,50,20,10,47,31,23
316,2,79,1,4,2,2,1,11,3,10,21,17,5,38,36,32,26,20,18,12,8,6
317,0,317,2,2,2,9,5,11,13,18,27,7,21,30,16,35,52,22,12,49,33,25
318,1,159,0,4,5,5,3,6,7,21,14,4,11,36,30,18,0,41,37,25,17,13
319,0,319,1,4,4,0,7,13,15,20,0,9,23,32,18,37,1,24,14,51,35,27
320,6,5,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
321,0,321,0,1,6,2,9,15,17,22,2,11,25,34,20,39,3,26,16,53,37,29
322,1,161,2,1,0,7,5,8,9,0,16,6,13,38,32,20,2,43,39,27,19,15
323,0,323,2,3,1,4,11,0,0,1,4,13,27,36,22,41,5,28,18,55,39,31
324,2,81,0,1,4,4,3,13,5,12,23,19,7,40,38,34,28,22,20,14,10,8
325,0,325,1,0,3,6,0,2,2,3,6,15,29,38,24,43,7,30,20,57,41,33
326,1,163,1,3,2,9,7,10,11,2,18,8,15,40,34,22,4,45,41,29,21,17
327,0,327,0,2,5,8,2,4,4,5,8,17,31,40,26,45,9,32,22,59,43,35
328,3,41,2,1,6,8,2,7,3,18,12,10,4,0,41,41,41,41,41,41,41,41
329,0,329,2,4,0,10,4,6,6,7,10,19,33,1,28,0,11,34,24,61,45,37
330,1,165,0,0,4,0,9,12,13,4,20,10,17,1,36,24,6,47,43,31,23,19
331,0,331,1,1,2,1,6,8,8,9,12,21,35,3,30,2,13,36,26,63,47,39
332,2,83,2,3,6,6,5,15,7,14,25,21,9,1,40,36,30,24,22,16,12,10
333,0,333,0,3,4,3,8,10,10,11,14,23,0,5,32,4,15,38,28,65,49,41
334,1,167,2,2,6,2,11,14,15,6,22,12,19,3,38,26,8,49,45,33,25,21
335,0,335,2,0,6,5,10,12,12,13,16,25,2,7,34,6,17,40,30,0,51,43
336,4,21,0,1,0,10,8,4,2,21,21,21,21,21,21,21,21,21,21,21,21,21
337,0,337,1,2,1,7,12,14,14,15,18,27,4,9,36,8,19,42,32,2,53,45
338,1,169,1,4,1,4,0,16,17,8,24,14,21,5,40,28,10,51,47,35,27,23
339,0,339,0,4,3,9,1,16,16,17,20,29,6,11,38,10,21,44,34,4,55,47
340,2,85,1,0,1,8,7,0,9,16,27,23,11,3,42,38,32,26,24,18,14,12
341,0,341,2,1,5,0,3,1,18,19,22,0,8,13,40,12,23,46,36,6,57,49
342,1,171,0,1,3,6,2,1,0,10,26,16,23,7,42,30,12,53,49,37,29,25
343,0,343,1,3,0,2,5,3,1,21,24,2,10,15,42,14,25,48,38,8,59,51
344,3,43,1,3,1,10,4,9,5,20,14,12,6,2,0,43,43,43,43,43,43,43
345,0,345,0,0,2,4,7,5,3,0,26,4,12,17,1,16,27,50,40,10,61,53
346,1,173,2,3,5,8,4,3,2,12,28,18,25,9,1,32,14,55,51,39,31,27
347,0,347,2,2,4,6,9,7,5,2,28,6,14,19,3,18,29,52,42,12,63,55
348,2,87,0,2,3,10,9,2,11,18,0,25,13,5,1,40,34,28,26,20,16,14
349,0,349,1,4,6,8,11,9,7,4,1,8,16,21,5,20,31,54,44,14,65,57
350,1,175,1,0,0,10,6,5,4,14,1,20,27,11,3,34,16,57,53,41,33,29
351,0,351,0,1,1,10,0,11,9,6,3,10,18,23,7,22,33,56,46,16,67,59
352,5,11,2,1,4,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
353,0,353,2,3,3,1,2,13,11,8,5,12,20,25,9,24,35,58,48,18,69,61
354,1,177,0,2,2,1,8,7,6,16,3,22,29,13,5,36,18,0,55,43,35,31
355,0,355,1,0,5,3,4,15,13,10,7,14,22,27,11,26,37,1,50,20,0,63
356,2,89,2,4,5,1,11,4,13,20,2,27,15,7,3,42,36,30,28,22,18,16
357,0,357,0,2,0,5,6,0,15,12,9,16,24,29,13,28,39,3,52,22,2,65
358,1,179,2,4,4,3,10,9,8,18,5,24,31,15,7,38,20,2,57,45,37,33
359,0,359,2,4,2,7,8,2,17,14,11,18,26,31,15,30,41,5,54,24,4,67
360,3,45,0,0,3,1,6,11,7,22,16,14,8,4,2,45,45,45,45,45,45,45
361,0,361,1,1,4,9,10,4,0,16,13,20,28,33,17,32,43,7,56,26,6,69
362,1,181,1,1,6,5,12,11,10,20,7,26,33,17,9,40,22,4,59,47,39,35
363,0,363,0,3,6,0,12,6,2,18,15,22,30,35,19,34,45,9,58,28,8,71
364,2,91,1,1,0,3,0,6,15,22,4,29,17,9,5,44,38,32,30,24,20,18
365,0,365,2,0,1,2,1,8,4,20,17,24,32,37,21,36,47,11,60,30,10,0
366,1,183,0,3,1,7,1,13,12,22,9,28,35,19,11,42,24,6,0,49,41,37
367,0,367,1,2,3,4,3,10,6,22,19,26,34,39,23,38,49,13,1,32,12,2
368,4,23,2,3,2,1,10,6,4,0,23,23,23,23,23,23,23,23,23,23,23,23
369,0,369,0,4,5,6,5,12,8,1,21,28,36,0,25,40,51,15,3,34,14,4
370,1,185,2,0,3,9,3,15,14,1,11,30,0,21,13,44,26,8,2,51,43,39
371,0,371,2,1,0,8,7,14,10,3,23,30,1,2,27,42,0,17,5,36,16,6
372,2,93,0,3,2,5,2,8,17,1,6,0,19,11,7,46,40,34,32,26,22,20
373,0,373,1,3,2,10,9,16,12,5,25,1,3,4,29,44,2,19,7,38,18,8
374,1,187,1,2,5,0,5,0,16,3,13,1,2,23,15,46,28,10,4,53,45,41
375,0,375,0,0,4,1,11,1,14,7,27,3,5,6,31,46,4,21,9,40,20,10
376,3,47,2,2,5,3,8,13,9,1,18,16,10,6,4,0,47,47,47,47,47,47
377,0,377,2,2,6,3,0,3,16,9,0,5,7,8,33,1,6,23,11,42,22,12
378,1,189,0,4,0,2,7,2,18,5,15,3,4,25,17,1,30,12,6,55,47,43
379,0,379,1,4,1,5,2,5,18,11,2,7,9,10,35,3,8,25,13,44,24,14
380,2,95,2,0,4,7,4,10,0,3,8,2,21,13,9,1,42,36,34,28,24,22
381,0,381,0,1,3,7,4,7,1,13,4,9,11,12,37,5,10,27,15,46,26,16
382,1,191,2,1,2,4,9,4,1,7,17,5,6,27,19,3,32,14,8,57,49,45
383,0,383,2,3,5,9,6,9,3,15,6,11,13,14,39,7,12,29,17,48,28,18
384,7,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
385,0,385,1,0,0,0,8,11,5,17,8,13,15,16,41,9,14,31,19,50,30,20
386,1,193,1,3,4,6,11,6,3,9,19,7,8,29,21,5,34,16,10,59,51,47
387,0,387,0,2,2,2,10,13,7,19,10,15,17,18,0,11,16,33,21,52,32,22
388,2,97,1,2,6,9,6,12,2,5,10,4,23,15,11,3,44,38,36,30,26,24
389,0,389,2,4,4,4,12,15,9,21,12,17,19,20,2,13,18,35,23,54,34,24
390,1,195,0,0,6,8,0,8,5,11,21,9,10,31,23,7,36,18,12,61,53,49
391,0,391,1,1,6,6,1,0,11,0,14,19,21,22,4,15,20,37,25,56,36,26
392,3,49,1,4,0,5,10,15,11,3,20,18,12,8,6,2,49,49,49,49,49,49
393,0,393,0,3,1,8,3,2,13,2,16,21,23,24,6,17,22,39,27,58,38,28
394,1,197,2,2,1,10,2,10,7,13,23,11,12,33,25,9,38,20,14,63,55,51
395,0,395,2,0,3,10,5,4,15,4,18,23,25,26,8,19,24,41,29,60,40,30
396,2,99,0,4,1,0,8,14,4,7,12,6,25,17,13,5,46,40,38,32,28,26
397,0,397,1,2,5,1,7,6,17,6,20,25,27,28,10,21,26,43,31,62,42,32
398,1,199,1,4,3,1,4,12,9,15,25,13,14,35,27,11,40,22,16,65,57,53
399,0,399,0,4,0,3,9,8,0,8,22,27,29,30,12,23,28,45,33,64,44,34
400,4,25,1,0,4,3,12,8,6,2,25,25,25,25,25,25,25,25,25,25,25,25
401,0,401,2,1,2,5,11,10,2,10,24,29,31,32,14,25,30,47,35,66,46,36
402,1,201,0,1,5,3,6,14,11,17,27,15,16,37,29,13,42,24,18,0,59,55
403,0,403,1,3,4,7,0,12,4,12,26,0,33,34,16,27,32,49,37,1,48,38
404,2,101,2,1,3,2,10,16,6,9,14,8,27,19,15,7,48,42,40,34,30,28
405,0,405,0,0,6,9,2,14,6,14,28,2,35,36,18,29,34,51,39,3,50,40
406,1,203,2,3,0,5,8,16,13,19,0,17,18,39,31,15,44,26,20,2,61,57
407,0,407,2,2,1,0,4,16,8,16,1,4,0,38,20,31,36,53,41,5,52,42
408,3,51,0,1,2,7,12,0,13,5,22,20,14,10,8,4,51,51,51,51,51,51
409,0,409,1,4,3,2,6,1,10,18,3,6,2,40,22,33,38,55,43,7,54,44
410,1,205,1,0,2,7,10,1,15,21,2,19,20,0,33,17,46,28,22,4,63,59
411,0,411,0,1,5,4,8,3,12,20,5,8,4,1,24,35,40,57,45,9,56,46
412,2,103,1,3,5,4,12,1,8,11,16,10,29,21,17,9,50,44,42,36,32,30
413,0,413,2,3,0,6,10,5,14,22,7,10,6,3,26,37,42,0,47,11,58,48
414,1,207,0,2,4,9,12,3,17,0,4,21,22,2,35,19,48,30,24,6,65,61
415,0,415,1,0,2,8,12,7,16,1,9,12,8,5,28,39,44,2,49,13,60,50
416,5,13,1,3,6,2,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
417,0,417,0,2,4,10,1,9,18,3,11,14,10,7,30,41,46,4,51,15,62,52
418,1,209,2,4,6,0,1,5,0,2,6,23,24,4,37,21,50,32,26,8,67,63
419,0,419,2,4,6,1,3,11,1,5,13,16,12,9,32,43,48,6,53,17,64,54
420,2,105,0,0,0,6,1,3,10,13,18,12,31,23,19,11,52,46,44,38,34,32
421,0,421,1,1,1,3,5,13,3,7,15,18,14,11,34,45,50,8,55,19,66,56
422,1,211,1,1,1,2,3,7,2,4,8,25,26,6,39,23,52,34,28,10,69,65
423,0,423,0,3,3,5,7,15,5,9,17,20,16,13,36,0,52,10,57,21,68,58
424,3,53,2,3,4,9,1,2,15,7,24,22,16,12,10,6,0,53,53,53,53,53
425,0,425,2,0,5,7,9,0,7,11,19,22,18,15,38,2,1,12,59,23,70,60
426,1,213,0,3,3,4,5,9,4,6,10,27,28,8,41,25,1,36,30,12,0,67
427,0,427,1,2,0,9,11,2,9,13,21,24,20,17,40,4,3,14,0,25,1,62
428,2,107,2,2,2,8,3,5,12,15,20,14,33,25,21,13,1,48,46,40,36,34
429,0,429,0,4,2,0,0,4,11,15,23,26,22,19,42,6,5,16,2,27,3,64
430,1,215,2,0,5,6,7,11,6,8,12,29,30,10,0,27,3,38,32,14,2,69
431,0,431,2,1,4,2,2,6,13,17,25,28,24,21,1,8,7,18,4,29,5,66
432,4,27,0,2,6,5,1,10,8,4,27,27,27,27,27,27,27,27,27,27,27,27
433,0,433,1,3,6,4,4,8,15,19,27,30,26,23,3,10,9,20,6,31,7,68
434,1,217,1,2,0,8,9,13,8,10,14,0,32,12,2,29,5,40,34,16,4,71
435,0,435,0,0,1,6,6,10,17,21,0,1,28,25,5,12,11,22,8,33,9,70
436,2,109,1,4,4,10,5,7,14,17,22,16,35,27,23,15,3,50,48,42,38,36
437,0,437,2,2,3,8,8,12,0,0,2,3,30,27,7,14,13,24,10,35,11,72
438,1,219,0,4,2,10,11,15,10,12,16,2,34,14,4,31,7,42,36,18,6,0
439,0,439,1,4,5,10,10,14,2,2,4,5,32,29,9,16,15,26,12,37,13,1
440,3,55,1,0,6,0,3,4,17,9,26,24,18,14,12,8,2,55,55,55,55,55
441,0,441,0,1,0,1,12,16,4,4,6,7,34,31,11,18,17,28,14,39,15,3
442,1,221,2,1,4,1,0,0,12,14,18,4,36,16,6,33,9,44,38,20,8,2
443,0,443,2,3,2,3,1,1,6,6,8,9,36,33,13,20,19,30,16,41,17,5
444,2,111,0,1,6,1,7,9,16,19,24,18,0,29,25,17,5,52,50,44,40,38
445,0,445,1,0,4,5,3,3,8,8,10,11,1,35,15,22,21,32,18,43,19,7
446,1,223,1,3,6,3,2,2,14,16,20,6,1,18,8,35,11,46,40,22,10,4
447,0,447,0,2,6,7,5,5,10,10,12,13,3,37,17,24,23,34,20,45,21,9
448,6,7,1,2,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
449,0,449,2,4,1,9,7,7,12,12,14,15,5,39,19,26,25,36,22,47,23,11
450,1,225,0,0,1,5,4,4,16,18,22,8,3,20,10,37,13,48,42,24,12,6
451,0,451,1,1,3,0,9,9,14,14,16,17,7,0,21,28,27,38,24,49,25,13
452,2,113,2,3,1,3,9,11,18,21,26,20,2,31,27,19,7,54,52,46,42,40
453,0,453,0,3,5,2,11,11,16,16,18,19,9,2,23,30,29,40,26,51,27,15
454,1,227,2,2,3,7,6,6,18,20,24,10,5,22,12,39,15,50,44,26,14,8
455,0,455,2,0,0,4,0,13,18,18,20,21,11,4,25,32,31,42,28,53,29,17
456,3,57,0,2,1,2,5,6,0,11,28,26,20,16,14,10,4,57,57,57,57,57
457,0,457,1,2,2,6,2,15,1,20,22,23,13,6,27,34,33,44,30,55,31,19
458,1,229,1,4,5,9,8,8,1,22,26,12,7,24,14,41,17,52,46,28,16,10
459,0,459,0,4,4,8,4,0,3,22,24,25,15,8,29,36,35,46,32,57,33,21
460,2,115,1,0,3,5,11,13,1,0,28,22,4,33,29,21,9,56,54,48,44,42
461,0,461,2,1,6,10,6,2,5,1,26,27,17,10,31,38,37,48,34,59,35,23
462,1,231,0,1,0,0,10,10,3,1,28,14,9,26,16,43,19,54,48,30,18,12
463,0,463,1,3,1,1,8,4,7,3,28,29,19,12,33,40,39,50,36,61,37,25
464,4,29,2,4,1,7,3,12,10,6,0,29,29,29,29,29,29,29,29,29,29,29
465,0,465,0,0,3,3,10,6,9,5,1,0,21,14,35,42,41,52,38,63,39,27
466,1,233,2,3,2,2,12,12,5,3,1,16,11,28,18,45,21,56,50,32,20,14
467,0,467,2,2,5,5,12,8,11,7,3,2,23,16,37,44,43,54,40,65,41,29
468,2,117,0,2,5,7,0,15,3,2,1,24,6,35,31,23,11,58,56,50,46,44
469,0,469,1,4,0,7,1,10,13,9,5,4,25,18,39,46,45,56,42,0,43,31
470,1,235,1,0,4,4,1,14,7,5,3,18,13,30,20,0,23,58,52,34,22,16
471,0,471,0,1,2,9,3,12,15,11,7,6,27,20,41,1,47,58,44,2,45,33
472,3,59,2,4,3,4,7,8,2,13,1,28,22,18,16,12,6,0,59,59,59,59
473,0,473,2,3,4,0,5,14,17,13,9,8,29,22,0,3,49,1,46,4,47,35
474,1,237,0,2,6,6,3,16,9,7,5,20,15,32,22,2,25,1,54,36,24,18
475,0,475,1,0,6,2,7,16,0,15,11,10,31,24,2,5,51,3,48,6,49,37
476,2,119,2,4,0,9,2,0,5,4,3,26,8,37,33,25,13,1,58,52,48,46
477,0,477,0,2,1,4,9,1,2,17,13,12,33,26,4,7,0,5,50,8,51,39
478,1,239,2,4,1,8,5,1,11,9,7,22,17,34,24,4,27,3,56,38,26,20
479,0,479,2,4,3,6,11,3,4,19,15,14,35,28,6,9,2,7,52,10,53,41
480,5,15,0,0,1,4,2,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
481,0,481,1,1,5,8,0,5,6,21,17,16,0,30,8,11,4,9,54,12,55,43
482,1,241,1,1,3,10,7,3,13,11,9,24,19,36,26,6,29,5,58,40,28,22
483,0,483,0,3,0,10,2,7,8,0,19,18,2,32,10,13,6,11,56,14,57,45
484,2,121,1,1,2,0,4,2,7,6,5,28,10,39,35,27,15,3,60,54,50,48
485,0,485,2,0,2,1,4,9,10,2,21,20,4,34,12,15,8,13,58,16,59,47
486,1,243,0,3,5,1,9,5,15,13,11,26,21,38,28,8,31,7,60,42,30,24
487,0,487,1,2,4,3,6,11,12,4,23,22,6,36,14,17,10,15,60,18,61,49
488,3,61,1,1,5,6,9,10,4,15,3,30,24,20,18,14,8,2,0,61,61,61
489,0,489,0,4,6,5,8,13,14,6,25,24,8,38,16,19,12,17,1,20,63,51
490,1,245,2,0,0,3,11,7,17,15,13,28,23,40,30,10,33,9,1,44,32,26
491,0,491,2,1,1,7,10,15,16,8,27,26,10,40,18,21,14,19,3,22,65,53
492,2,123,0,3,4,2,6,4,9,8,7,30,12,0,37,29,17,5,1,56,52,50
493,0,493,1,3,3,9,12,0,18,10,0,28,12,1,20,23,16,21,5,24,67,55
494,1,247,1,2,2,5,0,9,0,17,15,30,25,1,32,12,35,11,3,46,34,28
495,0,495,0,0,5,0,1,2,1,12,2,30,14,3,22,25,18,23,7,26,69,57
496,4,31,1,1,3,9,5,14,12,8,2,0,31,31,31,31,31,31,31,31,31,31
497,0,497,2,2,0,2,3,4,3,14,4,1,16,5,24,27,20,25,9,28,0,59
498,1,249,0,4,4,7,2,11,2,19,17,1,27,3,34,14,37,13,5,48,36,30
499,0,499,1,4,2,4,5,6,5,16,6,3,18,7,26,29,22,27,11,30,2,61
500,2,125,2,0,6,4,8,6,11,10,9,1,14,2,39,31,19,7,3,58,54,52
501,0,501,0,1,4,6,7,8,7,18,8,5,20,9,28,31,24,29,13,32,4,63
502,1,251,2,1,6,9,4,13,4,21,19,3,29,5,36,16,39,15,7,50,38,32
503,0,503,2,3,6,8,9,10,9,20,10,7,22,11,30,33,26,31,15,34,6,65
504,3,63,0,3,0,8,11,12,6,17,5,1,26,22,20,16,10,4,2,63,63,63
505,0,505,1,0,1,10,11,12,11,22,12,9,24,13,32,35,28,33,17,36,8,67
506,1,253,1,3,1,0,6,15,6,0,21,5,31,7,38,18,41,17,9,52,40,34
507,0,507,0,2,3,1,0,14,13,1,14,11,26,15,34,37,30,35,19,38,10,69
508,2,127,1,2,1,6,10,8,13,12,11,3,16,4,41,33,21,9,5,60,56,54
509,0,509,2,4,5,3,2,16,15,3,16,13,28,17,36,39,32,37,21,40,12,71
510,1,255,0,0,3,2,8,0,8,2,23,7,33,9,40,20,43,19,11,54,42,36
511,0,511,1,1,0,5,4,1,17,5,18,15,30,19,38,41,34,39,23,42,14,0
512,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
513,0,513,0,3,2,7,6,3,0,7,20,17,32,21,40,43,36,41,25,44,16,2
514,1,257,2,2,5,4,10,2,10,4,25,9,35,11,42,22,45,21,13,56,44,38
515,0,515,2,0,4,9,8,5,2,9,22,19,34,23,42,45,38,43,27,46,18,4
516,2,129,0,4,3,8,12,10,15,14,13,5,18,6,0,35,23,11,7,62,58,56
517,0,517,1,2,6,0,10,7,4,11,24,21,36,25,1,0,40,45,29,48,20,6
518,1,259,1,4,0,6,12,4,12,6,27,11,0,13,1,24,47,23,15,58,46,40
519,0,519,0,4,1,2,12,9,6,13,26,23,1,27,3,2,42,47,31,50,22,8
520,3,65,2,0,2,10,0,14,8,19,7,3,28,24,22,18,12,6,4,65,65,65
521,0,521,2,1,3,4,1,11,8,15,28,25,3,29,5,4,44,49,33,52,24,10
522,1,261,0,1,2,8,1,6,14,8,0,13,2,15,3,26,49,25,17,60,48,42
523,0,523,1,3,5,6,3,13,10,17,1,27,5,31,7,6,46,51,35,54,26,12
524,2,131,2,1,5,10,1,12,17,16,15,7,20,8,2,37,25,13,9,64,60,58
525,0,525,0,0,0,8,5,15,12,19,3,29,7,33,9,8,48,53,37,56,28,14
526,1,263,2,3,4,10,3,8,16,10,2,15,4,17,5,28,51,27,19,62,50,44
527,0,527,2,2,2,10,7,0,14,21,5,0,9,35,11,10,50,55,39,58,30,16
528,4,33,0,3,5,0,7,16,14,10,4,2,33,33,33,33,33,33,33,33,33,33
529,0,529,1,4,4,1,9,2,16,0,7,2,11,37,13,12,52,57,41,60,32,18
530,1,265,1,0,6,1,5,10,18,12,4,17,6,19,7,30,0,29,21,64,52,46
531,0,531,0,1,6,3,11,4,18,2,9,4,13,39,15,14,1,0,43,62,34,20
532,2,133,1,3,0,1,3,14,0,18,17,9,22,10,4,39,27,15,11,66,62,60
533,0,533,2,3,1,5,0,6,1,4,11,6,15,0,17,16,3,2,45,64,36,22
534,1,267,0,2,1,3,7,12,1,14,6,19,8,21,9,32,2,31,23,66,54,48
535,0,535,1,0,3,7,2,8,3,6,13,8,17,2,19,18,5,4,47,66,38,24
536,3,67,1,2,4,1,2,16,10,21,9,5,30,26,24,20,14,8,6,0,67,67
537,0,537,0,2,5,9,4,10,5,8,15,10,19,4,21,20,7,6,49,1,40,26
538,1,269,2,4,3,5,9,14,3,16,8,21,10,23,11,34,4,33,25,1,56,50
539,0,539,2,4,0,0,6,12,7,10,17,12,21,6,23,22,9,8,51,3,42,28
540,2,135,0,0,2,3,5,16,2,20,19,11,24,12,6,41,29,17,13,1,64,62
541,0,541,1,1,2,2,8,14,9,12,19,14,23,8,25,24,11,10,53,5,44,30
542,1,271,1,1,5,7,11,16,5,18,10,23,12,25,13,36,6,35,27,3,58,52
543,0,543,0,3,4,4,10,16,11,14,21,16,25,10,27,26,13,12,55,7,46,32
544,5,17,2,2,3,6,4,0,17,17,17,17,17,17,17,17,17,17,17,17,17,17
545,0,545,2,0,6,6,12,1,13,16,23,18,27,12,29,28,15,14,57,9,48,34
546,1,273,0,3,0,9,0,1,7,20,12,25,14,27,15,38,8,37,29,5,60,54
547,0,547,1,2,1,8,1,3,15,18,25,20,29,14,31,30,17,16,59,11,50,36
548,2,137,2,2,4,5,7,1,4,22,21,13,26,14,8,43,31,19,15,3,66,64
549,0,549,0,4,3,10,3,5,17,20,27,22,31,16,33,32,19,18,0,13,52,38
550,1,275,2,0,2,0,2,3,9,22,14,27,16,29,17,40,10,39,31,7,62,56
551,0,551,2,1,5,1,5,7,0,22,0,24,33,18,35,34,21,20,2,15,54,40
552,3,69,0,4,6,3,4,1,12,0,11,7,32,28,26,22,16,10,8,2,69,69
553,0,553,1,3,0,3,7,9,2,1,2,26,35,20,37,36,23,22,4,17,56,42
554,1,277,1,2,4,2,4,5,11,1,16,29,18,31,19,42,12,41,33,9,64,58
555,0,555,0,0,2,5,9,11,4,3,4,28,0,22,39,38,25,24,6,19,58,44
556,2,139,1,4,6,7,9,3,6,1,23,15,28,16,10,45,33,21,17,5,68,66
557,0,557,2,2,4,7,11,13,6,5,6,30,2,24,41,40,27,26,8,21,60,46
558,1,279,0,4,6,4,6,7,13,3,18,0,20,33,21,44,14,43,35,11,66,60
559,0,559,1,4,6,9,0,15,8,7,8,1,4,26,0,42,29,28,10,23,62,48
560,4,35,2,0,0,2,9,1,16,12,6,4,35,35,35,35,35,35,35,35,35,35
561,0,561,0,1,1,0,2,0,10,9,10,3,6,28,2,44,31,30,12,25,64,50
562,1,281,2,1,1,6,8,9,15,5,20,2,22,35,23,46,16,45,37,13,68,62
563,0,563,2,3,3,2,4,2,12,11,12,5,8,30,4,46,33,32,14,27,66,52
564,2,141,0,1,1,9,11,5,8,3,25,17,30,18,12,0,35,23,19,7,70,68
565,0,565,1,0,5,4,6,4,14,13,14,7,10,32,6,1,35,34,16,29,68,54
566,1,283,1,3,3,8,10,11,17,7,22,4,24,37,25,1,18,47,39,15,70,64
567,0,567,0,2,0,6,8,6,16,15,16,9,12,34,8,3,37,36,18,31,70,56
568,3,71,2,1,1,5,6,3,14,2,13,9,34,30,28,24,18,12,10,4,0,71
569,0,569,2,4,2,8,10,8,18,17,18,11,14,36,10,5,39,38,20,33,1,58
570,1,285,0,0,5,10,12,13,0,9,24,6,26,39,27,3,20,49,41,17,1,66
571,0,571,1,1,4,10,12,10,1,19,20,13,16,38,12,7,41,40,22,35,3,60
572,2,143,2,3,3,0,0,7,10,5,27,19,32,20,14,2,37,25,21,9,1,70
573,0,573,0,3,6,1,1,12,3,21,22,15,18,40,14,9,43,42,24,37,5,62
574,1,287,2,2,0,1,1,15,2,11,26,8,28,0,29,5,22,51,43,19,3,68
575,0,575,2,0,1,3,3,14,5,0,24,17,20,1,16,11,45,44,26,39,7,64
576,6,9,0,4,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
577,0,577,1,2,3,5,5,16,7,2,26,19,22,3,18,13,47,46,28,41,9,66
578,1,289,1,4,2,3,3,0,4,13,28,10,30,2,31,7,24,53,45,21,5,70
579,0,579,0,4,5,7,7,1,9,4,28,21,24,5,20,15,49,48,30,43,11,68
580,2,145,1,0,5,2,2,9,12,7,0,21,34,22,16,4,39,27,23,11,3,72
581,0,581,2,1,0,9,9,3,11,6,1,23,26,7,22,17,51,50,32,45,13,70
582,1,291,0,1,4,5,5,2,6,15,1,12,32,4,33,9,26,55,47,23,7,72
583,0,583,1,3,2,0,11,5,13,8,3,25,28,9,24,19,0,52,34,47,15,72
584,3,73,1,3,3,7,8,5,16,4,15,11,36,32,30,26,20,14,12,6,2,0
585,0,585,0,0,4,2,0,7,15,10,5,27,30,11,26,21,2,54,36,49,17,1
586,1,293,2,3,6,7,7,4,8,17,3,14,34,6,35,11,28,57,49,25,9,1
587,0,587,2,2,6,4,2,9,17,12,7,29,32,13,28,23,4,56,38,51,19,3
588,2,147,0,2,0,4,4,11,14,9,2,23,36,24,18,6,41,29,25,13,5,1
589,0,589,1,4,1,6,4,11,0,14,9,0,34,15,30,25,6,58,40,53,21,5
590,1,295,1,0,1,9,9,6,10,19,5,16,36,8,37,13,30,0,51,27,11,3
591,0,591,0,1,3,8,6,13,2,16,11,2,36,17,32,27,8,1,42,55,23,7
592,4,37,1,2,2,4,11,3,18,14,8,6,0,37,37,37,37,37,37,37,37,37
593,0,593,2,3,5,10,8,15,4,18,13,4,1,19,34,29,10,3,44,57,25,9
594,1,297,0,2,3,0,11,8,12,21,7,18,1,10,39,15,32,2,53,29,13,5
595,0,595,1,0,0,1,10,0,6,20,15,6,3,21,36,31,12,5,46,59,27,11
596,2,149,2,4,2,6,6,13,16,11,4,25,1,26,20,8,43,31,27,15,7,3
597,0,597,0,2,2,3,12,2,8,22,17,8,5,23,38,33,14,7,48,61,29,13
598,1,299,2,4,5,2,0,10,14,0,9,20,3,12,41,17,34,4,55,31,15,7
599,0,599,2,4,4,5,1,4,10,1,19,10,7,25,40,35,16,9,50,63,31,15
600,3,75,0,0,5,9,10,7,18,6,17,13,1,34,32,28,22,16,14,8,4,2
601,0,601,1,1,6,7,3,6,12,3,21,12,9,27,42,37,18,11,52,65,33,17
602,1,301,1,1,0,4,2,12,16,2,11,22,5,14,0,19,36,6,57,33,17,9
603,0,603,0,3,1,9,5,8,14,5,23,14,11,29,1,39,20,13,54,0,35,19
