# `factorzig` the prime factors of n, indented by distance from the nearest prime
# `psym`      the symmetric primes at equal offsets around n

factorzig,                     psym
 2⋅3²⋅5⋅7,                     [11 13 17 23 29 31 43 53]
631,                           [12 30 60]
 2³⋅79,                        [15 45 69]
  3⋅211,                       [14 20 26 40 76 86]
   2⋅317,                      [27 57 93]
    5⋅127,                     [18 42 48 66]
     2²⋅3⋅53,                  [5 17 23 37 65 73]
    7²⋅13,                     [6 24 36 90 96]
   2⋅11⋅29,                    [21 39 45 81]
  3²⋅71,                       [8 20 22 38 52 62 70]
 2⁷⋅5,                         [21 33 69 93 99]
641,                           [42 78]
 2⋅3⋅107,                      [1 11 35 41 49 85]
643,                           [30 66 96]
 2²⋅7⋅23,                      [3 57 75]
  3⋅5⋅43,                      [2 14 28 32 38 46 74 82]
 2⋅17⋅19,                      [15 27 45]
647,                           [6 30 54]
 2³⋅3⁴,                        [5 29 35 61 71 79 85 91]
  11⋅59,                       [42 78]
   2⋅5²⋅13,                    [3 9 33 51 93]
  3⋅7⋅31,                      [8 10 32 50 58 82 88]
 2²⋅163,                       [9 21 39 75 81]
653,                           [6 66 90]
 2⋅3⋅109,                      [7 23 37 47 55 85 97]
  5⋅131,                       [36 54 78 84]
   2⁴⋅41,                      [3 63 87]
  3²⋅73,                       [4 16 26 44 70 86 94 100]
 2⋅7⋅47,                       [15 51 81]
659,                           [18 42 60]
 2²⋅3⋅5⋅11,                    [1 13 17 41 59 67 73 83]
661,                           [30 48 90]
 2⋅331,                        [15 21 99]
  3⋅13⋅17,                     [10 20 46 56 64 70 76 94]
   2³⋅83,                      [45 63 87 93]
    5⋅7⋅19,                    [12 18 78 96]
     2⋅3²⋅37,                  [7 25 35 53 67 73 95]
      23⋅29,                   [6 24 60 66 90]
     2²⋅167,                   [9 15 51 75]
    3⋅223,                     [8 22 50 70 82 92 100]
   2⋅5⋅67,                     [39 57 63 69 99]
  11⋅61,                       [12 30 72]
 2⁵⋅3⋅7,                       [11 19 29 55 71 79 85]
673,                           [54 60 66 96]
 2⋅337,                        [27 87]
  3³⋅5²,                       [2 16 34 44 58 68 76 82]
 2²⋅13²,                       [15 33 57 63 75]
677,                           [24 84]
 2⋅3⋅113,                      [5 31 61 65 79 91]
  7⋅97,                        [48 60 72 78]
   2³⋅5⋅17,                    [3 21 39 63 81 93]
  3⋅227,                       [20 28 38 62 80 88]
 2⋅11⋅31,                      [9 51 69 75]
683,                           [36 90]
 2²⋅3²⋅19,                     [7 25 43 67 77 85]
  5⋅137,                       [24 42 54 66 72 84]
   2⋅7³,                       [33 87]
    3⋅229,                     [4 14 40 46 56 70 74 86]
   2⁴⋅43,                      [45 69 81]
  13⋅53,                       [12 30 72]
 2⋅3⋅5⋅23,                     [29 37 43 49 71 83 97]
691,                           [18 48 60 78]
 2²⋅173,                       [9 51]
  3²⋅7⋅11,                     [16 34 40 46 50 76 80 94]
   2⋅347,                      [33 63 75 93]
    5⋅139,                     [48 78]
     2³⋅3⋅29,                  [5 13 23 37 43 55 65 77]
    17⋅41,                     [36 54 90]
   2⋅349,                      [21 45 99]
  3⋅233,                       [40 52 58 98]
 2²⋅5²⋅7,                      [9 27 39 57 69 87]
701,                           [18 42 60]
 2⋅3³⋅13,                      [25 41 49 55 59 71 85 95]
  19⋅37,                       [30 84]
   2⁶⋅11,                      [57]
    3⋅5⋅47,                    [4 14 22 28 46 52 64 92]
   2⋅353,                      [33 45 63]
  7⋅101,                       [54 66 90]
 2²⋅3⋅59,                      [25 31 35 49 61 65 89]
709,                           [18 48 78]
 2⋅5⋅71,                       [9 33 51 63]
  3²⋅79,                       [28 50 58 98]
   2³⋅89,                      [21 39 99]
    23⋅31,                     [30 60 96]
     2⋅3⋅7⋅17,                 [5 13 37 55 73 83 95 97]
    5⋅11⋅13,                   [24 42 54 72 96]
   2²⋅179,                     [57]
  3⋅239,                       [16 26 34 40 44 56 70]
 2⋅359,                        [9]
719,                           [42 78]
 2⁴⋅3²⋅5,                      [19 37 67 77 89]
  7⋅103,                       [12 30 48 90]
   2⋅19²,                      [21 39 75]
    3⋅241,                     [4 46 50 64]
   2²⋅181,                     [15 33 63]
  5²⋅29,                       [48 72 84]
 2⋅3⋅11²,                      [7 17 25 35 43 83 85 95]
727,                           [84 96]
 2³⋅7⋅13,                      [45 69 81]
  3⁶,                          [10 28 68 82 98]
   2⋅5⋅73,                     [3 21 39 57 99]
  17⋅43,                       [12 30 78 90]
 2²⋅3⋅61,                      [41 55 79 89 91]
733,                           [6 24 90]
 2⋅367,                        [75 87 93]
  3⋅5⋅7²,                      [8 16 26 34 52 62 74 76]
   2⁵⋅23,                      [3 75 93]
  11⋅67,                       [36 60 84 90]
 2⋅3²⋅41,                      [5 19 85 91]
739,                           [12 30 48]
 2²⋅5⋅37,                      [21 57 81 87 99]
  3⋅13⋅19,                     [2 32 68 80 82 88 98]
 2⋅7⋅53,                       [9 15 69 81]
743,                           [66 84 96]
 2³⋅3⋅31,                      [17 25 43 53 67 83 85]
  5⋅149,                       [6 12 84]
   2⋅373,                      [27 63 93]
    3²⋅83,                     [4 14 64 74]
   2²⋅11⋅17,                   [9 21 39 75]
  7⋅107,                       [48 72 90]
 2⋅3⋅5³,                       [7 11 23 59 73 77 89]
751,                           [18 60 78]
 2⁴⋅47,                        [9 69 75]
  3⋅251,                       [20 34 44 70 76 100]
   2⋅13⋅29,                    [3 15]
  5⋅151,                       [54 72]
 2²⋅3³⋅7,                      [5 13 17 55 65 73 83 97]
757,                           [30 66 96]
 2⋅379,                        [15 39 81 99]
  3⋅11⋅23,                     [2 50 68 98 100]
 2³⋅5⋅19,                      [9 27 51 69 99]
761,                           [60 78]
 2⋅3⋅127,                      [11 35 61]
  7⋅109,                       [6 24 90]
   2²⋅191,                     [45 63]
    3²⋅5⋅17,                   [4 8 22 32 46 56 64 74]
   2⋅383,                      [57 93]
  13⋅59,                       [6 90]
 2⁸⋅3,                         [29 41 59 85 91 95]
769,                           [18 42 60]
 2⋅5⋅7⋅11,                     [27 51 69 87 93]
  3⋅257,                       [2 38 52 88]
 2²⋅193,                       [15 39 81]
773,                           [54 90]
 2⋅3²⋅43,                      [13 23 35 47 55 65 83]
  5²⋅31,                       [36 48 84]
   2³⋅97,                      [33]
    3⋅7⋅37,                    [20 34 44 50 76 86 100]
     2⋅389,                    [9 45 51]
      19⋅41,                   [18 60 78]
       2²⋅3⋅5⋅13,              [7 29 41 47 79 97]
      11⋅71,                   [30 42 48 72]
     2⋅17⋅23,                  [39 81 99]
    3³⋅29,                     [14 26 40 44 56 74 100]
   2⁴⋅7²,                      [27 45 75 93]
  5⋅157,                       [12 24 42]
 2⋅3⋅131,                      [25 35 43 53 67 77 95]
787,                           [36 96]
 2²⋅197,                       [69]
  3⋅263,                       [20 32 38 50 70 88 98]
   2⋅5⋅79,                     [21 33 39 63]
    7⋅113,                     [18 30 48 72 90]
     2³⋅3²⋅11,                 [5 19 31 35 65 91]
    13⋅61,                     [36 60 66 84]
   2⋅397,                      [33 93]
  3⋅5⋅53,                      [26 34 44 62 68 86]
 2²⋅199,                       [27 57 63 87]
797,                           [24]
 2⋅3⋅7⋅19,                     [11 25 29 41 55 59 65 79]
  17⋅47,                       [12 30 60]
   2⁵⋅5²,                      [27 39 57 81]
    3²⋅89,                     [28 58 62 82]
     2⋅401,                    [51 75]
      11⋅73,                   [6 60 84]
     2²⋅3⋅67,                  [7 17 35 53 77]
    5⋅7⋅23,                    [18 48 54 72 78]
   2⋅13⋅31,                    [33]
  3⋅269,                       [20 46 50 56 74 80]
 2³⋅101,                       [21 51 69 75 99]
809,                           [12 48]
 2⋅3⁴⋅5,                       [1 13 49 53 67 71 77]
811,                           [42 72]
 2²⋅7⋅29,                      [15 51 69]
  3⋅271,                       [16 26 40 44 70 74 94]
   2⋅11⋅37,                    [45 63]
    5⋅163,                     [6 42 72 96]
     2⁴⋅3⋅17,                  [5 7 43 47 65]
    19⋅43,                     [6 60 66 90]
   2⋅409,                      [9 21 45]
  3²⋅7⋅13,                     [8 10 58 62 68 92 100]
 2²⋅5⋅41,                      [9 33 63 87]
821,                           [60]
 2⋅3⋅137,                      [1 35 61 65 89]
823,                           [36 54 84 96]
 2³⋅103,                       [3 15 63]
  3⋅5²⋅11,                     [2 4 14 28 38 52 56 82]
 2⋅7⋅59,                       [3 57 93]
827,                           [30 54 84]
 2²⋅3²⋅23,                     [1 31 55 59]
829,                           [78 90]
 2⋅5⋅83,                       [9 33 57]
  3⋅277,                       [8 22 80 88 98]
   2⁶⋅13,                      [21 45 75]
    7²⋅17,                     [6 24]
     2⋅3⋅139,                  [5 23 25 47 73 77 95]
    5⋅167,                     [24 48 84]
   2²⋅11⋅19,                   [27 75 93]
  3³⋅31,                       [16 26 40 50]
 2⋅419,                        [15 69 81 99]
839,                           [18 42]
 2³⋅3⋅5⋅7,                     [13 17 19 43 67 71 79 89]
  29²,                         [12 18]
   2⋅421,                      [15 21 45 69 99]
    3⋅281,                     [14 16 20 34 86]
     2²⋅211,                   [15 33 75 93]
      5⋅13²,                   [18 36 84]
       2⋅3²⋅47,                [7 17 35 37 73 95]
      7⋅11²,                   [36 60 90]
     2⁴⋅53,                    [9 39]
    3⋅283,                     [10 28 38 62 80 88 92 98]
   2⋅5²⋅17,                    [27]
  23⋅37,                       [12 30 78 90]
 2²⋅3⋅71,                      [25 29 31 55 95]
853,                           [24 30 66 84]
 2⋅7⋅61,                       [27 33 57 93]
  3²⋅5⋅19,                     [2 26 28 32 82 86 98]
 2³⋅107,                       [3 27]
857,                           [30 84 96]
 2⋅3⋅11⋅13,                    [1 5 19 29 49 61 71 89]
859,                           [48]
 2²⋅5⋅43,                      [3 21 51 87]
  3⋅7⋅41,                      [2 22 50 92]
 2⋅431,                        [75]
863,                           [24 66 90]
 2⁵⋅3³,                        [43 55 77]
  5⋅173,                       [12 42 54]
   2⋅433,                      [45]
    3⋅17²,                     [10 14 40 44 70 80]
     2²⋅7⋅31,                  [9 15 39 99]
      11⋅79,                   [12 42 60 72]
       2⋅3⋅5⋅29,               [7 11 13 17 41 49 59 83]
      13⋅67,                   [12 48]
     2³⋅109,                   [9 15 75 99]
    3²⋅97,                     [10 14 34 46 64]
   2⋅19⋅23,                    [45 63]
  5³⋅7,                        [12 36 54 66 78]
 2²⋅3⋅73,                      [53 65]
877,                           [90]
 2⋅439,                        [51 69]
  3⋅293,                       [2 40 50 58 68 92]
 2⁴⋅5⋅11,                      [3 27 57]
881,                           [60 72]
 2⋅3²⋅7²,                      [1 5 25 29 55 59 71 85]
883,                           [24 54]
 2²⋅13⋅17,                     [3 27 45 57 63 87]
  3⋅5⋅59,                      [2 22 26 56 62 98]
 2⋅443,                        [33]
887,                           [24 60 66 90]
 2³⋅3⋅37,                      [31 49 59 65 79]
  7⋅127,                       [30 78]
   2⋅5⋅89,                     [51 63 81 93]
    3⁴⋅11,                     [28 38 62 80]
     2²⋅223,                   [15]
      19⋅47,                   [36 54 84]
       2⋅3⋅149,                [13 17 35 73 83 97]
        5⋅179,                 [12 42 72]
         2⁷⋅7,                 [15 33 57 75 87]
          3⋅13⋅23,             [10 14 40 44 70 74 86 100]
         2⋅449,                [21 39 69]
        29⋅31,                 [12 42 72 78]
       2²⋅3²⋅5²,               [19 37 41 47 71 77 91]
