

# `n`       a positive odd integer
# `base3`   the ternary representation of n
# `base2`   the binary representation of n
# `dist`    the number of odd-to-odd Collatz for n steps to reach 1
# `nl`      the odd core valuation of the even number n-1 to the left of odd n
# `nr`      the odd core valuation of the even number n+1 to the right of odd n
# `m*`      the prime residues of n modulo a set of primes
# `factors` the prime factors of n

    n,     base3,          base2, dist,        nl,        nr, m3, m5, m7, m11, m13, m17, factors
  531,    201200,     1000010011,   44,   (265 1),   (133 2), 0,  1,  6,  3,   11,  4,   {3 59}
  533,    201202,     1000010101,    8,   (133 2),   (267 1), 2,  3,  1,  5,   0,   6,   {13 41}
  535,    201211,     1000010111,    5,   (267 1),    (67 3), 1,  0,  3,  7,   2,   8,   {5 107}
  537,    201220,     1000011001,    5,    (67 3),   (269 1), 0,  2,  5,  9,   4,   10,  {3 179}
  539,    201222,     1000011011,   15,   (269 1),   (135 2), 2,  4,  0,  0,   6,   12,  {7 11}
  541,    202001,     1000011101,   13,   (135 2),   (271 1), 1,  1,  2,  2,   8,   14,  {541}
  543,    202010,     1000011111,   49,   (271 1),    (17 5), 0,  3,  4,  4,   10,  16,  {3 181}
  545,    202012,     1000100001,   13,    (17 5),   (273 1), 2,  0,  6,  6,   12,  1,   {5 109}
  547,    202021,     1000100011,    8,   (273 1),   (137 2), 1,  2,  1,  8,   1,   3,   {547}
  549,    202100,     1000100101,   32,   (137 2),   (275 1), 0,  4,  3,  10,  3,   5,   {3 61}
  551,    202102,     1000100111,   13,   (275 1),    (69 3), 2,  1,  5,  1,   5,   7,   {19 29}
  553,    202111,     1000101001,   49,    (69 3),   (277 1), 1,  3,  0,  3,   7,   9,   {7 79}
  555,    202120,     1000101011,    8,   (277 1),   (139 2), 0,  0,  2,  5,   9,   11,  {3 5 37}
  557,    202122,     1000101101,   13,   (139 2),   (279 1), 2,  2,  4,  7,   11,  13,  {557}
  559,    202201,     1000101111,   30,   (279 1),    (35 4), 1,  4,  6,  9,   0,   15,  {13 43}
  561,    202210,     1000110001,   13,    (35 4),   (281 1), 0,  1,  1,  0,   2,   0,   {3 11 17}
  563,    202212,     1000110011,   13,   (281 1),   (141 2), 2,  3,  3,  2,   4,   2,   {563}
  565,    202221,     1000110101,    3,   (141 2),   (283 1), 1,  0,  5,  4,   6,   4,   {5 113}
  567,    210000,     1000110111,   20,   (283 1),    (71 3), 0,  2,  0,  6,   8,   6,   {3 7}
  569,    210002,     1000111001,   18,    (71 3),   (285 1), 2,  4,  2,  8,   10,  8,   {569}
  571,    210011,     1000111011,    8,   (285 1),   (143 2), 1,  1,  4,  10,  12,  10,  {571}
  573,    210020,     1000111101,   37,   (143 2),   (287 1), 0,  3,  6,  1,   1,   12,  {3 191}
  575,    210022,     1000111111,   13,   (287 1),     (9 6), 2,  0,  1,  3,   3,   14,  {5 23}
  577,    210101,     1001000001,    8,     (9 6),   (289 1), 1,  2,  3,  5,   5,   16,  {577}
  579,    210110,     1001000011,    8,   (289 1),   (145 2), 0,  4,  5,  7,   7,   1,   {3 193}
  581,    210112,     1001000101,   42,   (145 2),   (291 1), 2,  1,  0,  9,   9,   3,   {7 83}
  583,    210121,     1001000111,    8,   (291 1),    (73 3), 1,  3,  2,  0,   11,  5,   {11 53}
  585,    210200,     1001001001,   18,    (73 3),   (293 1), 0,  0,  4,  2,   0,   7,   {3 5 13}
  587,    210202,     1001001011,   42,   (293 1),   (147 2), 2,  2,  6,  4,   2,   9,   {587}
  589,    210211,     1001001101,   42,   (147 2),   (295 1), 1,  4,  1,  6,   4,   11,  {19 31}
  591,    210220,     1001001111,   18,   (295 1),    (37 4), 0,  1,  3,  8,   6,   13,  {3 197}
  593,    210222,     1001010001,   25,    (37 4),   (297 1), 2,  3,  5,  10,  8,   15,  {593}
  595,    211001,     1001010011,   25,   (297 1),   (149 2), 1,  0,  0,  1,   10,  0,   {5 7 17}
  597,    211010,     1001010101,    6,   (149 2),   (299 1), 0,  2,  2,  3,   12,  2,   {3 199}
  599,    211012,     1001010111,   42,   (299 1),    (75 3), 2,  4,  4,  5,   1,   4,   {599}
  601,    211021,     1001011001,   18,    (75 3),   (301 1), 1,  1,  6,  7,   3,   6,   {601}
  603,    211100,     1001011011,   23,   (301 1),   (151 2), 0,  3,  1,  9,   5,   8,   {3 67}
  605,    211102,     1001011101,    3,   (151 2),   (303 1), 2,  0,  3,  0,   7,   10,  {5 11}
  607,    211111,     1001011111,   13,   (303 1),    (19 5), 1,  2,  5,  2,   9,   12,  {607}
  609,    211120,     1001100001,   47,    (19 5),   (305 1), 0,  4,  0,  4,   11,  14,  {3 7 29}
  611,    211122,     1001100011,   11,   (305 1),   (153 2), 2,  1,  2,  6,   0,   16,  {13 47}
  613,    211201,     1001100101,   11,   (153 2),   (307 1), 1,  3,  4,  8,   2,   1,   {613}
  615,    211210,     1001100111,   23,   (307 1),    (77 3), 0,  0,  6,  10,  4,   3,   {3 5 41}
  617,    211212,     1001101001,   47,    (77 3),   (309 1), 2,  2,  1,  1,   6,   5,   {617}
  619,    211221,     1001101011,   47,   (309 1),   (155 2), 1,  4,  3,  3,   8,   7,   {619}
  621,    212000,     1001101101,   30,   (155 2),   (311 1), 0,  1,  5,  5,   10,  9,   {3 23}
  623,    212002,     1001101111,   47,   (311 1),    (39 4), 2,  3,  0,  7,   12,  11,  {7 89}
  625,    212011,     1001110001,    6,    (39 4),   (313 1), 1,  0,  2,  9,   1,   13,  {5}
  627,    212020,     1001110011,   47,   (313 1),   (157 2), 0,  2,  4,  0,   3,   15,  {3 11 19}
  629,    212022,     1001110101,   11,   (157 2),   (315 1), 2,  4,  6,  2,   5,   0,   {17 37}
  631,    212101,     1001110111,   11,   (315 1),    (79 3), 1,  1,  1,  4,   7,   2,   {631}
  633,    212110,     1001111001,    8,    (79 3),   (317 1), 0,  3,  3,  6,   9,   4,   {3 211}
  635,    212112,     1001111011,    8,   (317 1),   (159 2), 2,  0,  5,  8,   11,  6,   {5 127}
  637,    212121,     1001111101,   18,   (159 2),   (319 1), 1,  2,  0,  10,  0,   8,   {7 13}
  639,    212200,     1001111111,   47,   (319 1),     (5 7), 0,  4,  2,  1,   2,   10,  {3 71}
  641,    212202,     1010000001,   16,     (5 7),   (321 1), 2,  1,  4,  3,   4,   12,  {641}
  643,    212211,     1010000011,    6,   (321 1),   (161 2), 1,  3,  6,  5,   6,   14,  {643}
  645,    212220,     1010000101,   35,   (161 2),   (323 1), 0,  0,  1,  7,   8,   16,  {3 5 43}
  647,    212222,     1010000111,   11,   (323 1),    (81 3), 2,  2,  3,  9,   10,  1,   {647}
  649,    220001,     1010001001,   52,    (81 3),   (325 1), 1,  4,  5,  0,   12,  3,   {11 59}
  651,    220010,     1010001011,   35,   (325 1),   (163 2), 0,  1,  0,  2,   1,   5,   {3 7 31}
  653,    220012,     1010001101,    6,   (163 2),   (327 1), 2,  3,  2,  4,   3,   7,   {653}
  655,    220021,     1010001111,   52,   (327 1),    (41 4), 1,  0,  4,  6,   5,   9,   {5 131}
  657,    220100,     1010010001,   16,    (41 4),   (329 1), 0,  2,  6,  8,   7,   11,  {3 73}
  659,    220102,     1010010011,   16,   (329 1),   (165 2), 2,  4,  1,  10,  9,   13,  {659}
  661,    220111,     1010010101,   40,   (165 2),   (331 1), 1,  1,  3,  1,   11,  15,  {661}
  663,    220120,     1010010111,    6,   (331 1),    (83 3), 0,  3,  5,  3,   0,   0,   {3 13 17}
  665,    220122,     1010011001,   16,    (83 3),   (333 1), 2,  0,  0,  5,   2,   2,   {5 7 19}
  667,    220201,     1010011011,   52,   (333 1),   (167 2), 1,  2,  2,  7,   4,   4,   {23 29}
  669,    220210,     1010011101,   23,   (167 2),   (335 1), 0,  4,  4,  9,   6,   6,   {3 223}
  671,    220212,     1010011111,   33,   (335 1),    (21 5), 2,  1,  6,  0,   8,   8,   {11 61}
  673,    220221,     1010100001,   21,    (21 5),   (337 1), 1,  3,  1,  2,   10,  10,  {673}
  675,    221000,     1010100011,   40,   (337 1),   (169 2), 0,  0,  3,  4,   12,  12,  {3 5}
  677,    221002,     1010100101,   16,   (169 2),   (339 1), 2,  2,  5,  6,   1,   14,  {677}
  679,    221011,     1010100111,   21,   (339 1),    (85 3), 1,  4,  0,  8,   3,   16,  {7 97}
  681,    221020,     1010101001,   21,    (85 3),   (341 1), 0,  1,  2,  10,  5,   1,   {3 227}
  683,    221022,     1010101011,   11,   (341 1),   (171 2), 2,  3,  4,  1,   7,   3,   {683}
  685,    221101,     1010101101,   45,   (171 2),   (343 1), 1,  0,  6,  3,   9,   5,   {5 137}
  687,    221110,     1010101111,   11,   (343 1),    (43 4), 0,  2,  1,  5,   11,  7,   {3 229}
  689,    221112,     1010110001,   45,    (43 4),   (345 1), 2,  4,  3,  7,   0,   9,   {13 53}
  691,    221121,     1010110011,   45,   (345 1),   (173 2), 1,  1,  5,  9,   2,   11,  {691}
  693,    221200,     1010110101,    9,   (173 2),   (347 1), 0,  3,  0,  0,   4,   13,  {3 7 11}
  695,    221202,     1010110111,   45,   (347 1),    (87 3), 2,  0,  2,  2,   6,   15,  {5 139}
  697,    221211,     1010111001,   45,    (87 3),   (349 1), 1,  2,  4,  4,   8,   0,   {17 41}
  699,    221220,     1010111011,   21,   (349 1),   (175 2), 0,  4,  6,  6,   10,  2,   {3 233}
  701,    221222,     1010111101,   28,   (175 2),   (351 1), 2,  1,  1,  8,   12,  4,   {701}
  703,    222001,     1010111111,   62,   (351 1),    (11 6), 1,  3,  3,  10,  1,   6,   {19 37}
  705,    222010,     1011000001,    9,    (11 6),   (353 1), 0,  0,  5,  1,   3,   8,   {3 5 47}
  707,    222012,     1011000011,   45,   (353 1),   (177 2), 2,  2,  0,  3,   5,   10,  {7 101}
  709,    222021,     1011000101,    9,   (177 2),   (355 1), 1,  4,  2,  5,   7,   12,  {709}
  711,    222100,     1011000111,   21,   (355 1),    (89 3), 0,  1,  4,  7,   9,   14,  {3 79}
  713,    222102,     1011001001,    6,    (89 3),   (357 1), 2,  3,  6,  9,   11,  16,  {23 31}
  715,    222111,     1011001011,    6,   (357 1),   (179 2), 1,  0,  1,  0,   0,   1,   {5 11 13}
  717,    222120,     1011001101,    9,   (179 2),   (359 1), 0,  2,  3,  2,   2,   3,   {3 239}
  719,    222122,     1011001111,   16,   (359 1),    (45 4), 2,  4,  5,  4,   4,   5,   {719}
  721,    222201,     1011010001,   14,    (45 4),   (361 1), 1,  1,  0,  6,   6,   7,   {7 103}
  723,    222210,     1011010011,   14,   (361 1),   (181 2), 0,  3,  2,  8,   8,   9,   {3 241}
  725,    222212,     1011010101,    4,   (181 2),   (363 1), 2,  0,  4,  10,  10,  11,  {5 29}
  727,    222221,     1011010111,   14,   (363 1),    (91 3), 1,  2,  6,  1,   12,  13,  {727}
  729,   1000000,     1011011001,    9,    (91 3),   (365 1), 0,  4,  1,  3,   1,   15,  {3}
  731,   1000002,     1011011011,   50,   (365 1),   (183 2), 2,  1,  3,  5,   3,   0,   {17 43}
  733,   1000011,     1011011101,   33,   (183 2),   (367 1), 1,  3,  5,  7,   5,   2,   {733}
  735,   1000020,     1011011111,   14,   (367 1),    (23 5), 0,  0,  0,  9,   7,   4,   {3 5 7}
  737,   1000022,     1011100001,   50,    (23 5),   (369 1), 2,  2,  2,  0,   9,   6,   {11 67}
  739,   1000101,     1011100011,    4,   (369 1),   (185 2), 1,  4,  4,  2,   11,  8,   {739}
  741,   1000110,     1011100101,   14,   (185 2),   (371 1), 0,  1,  6,  4,   0,   10,  {3 13 19}
  743,   1000112,     1011100111,   33,   (371 1),    (93 3), 2,  3,  1,  6,   2,   12,  {743}
  745,   1000121,     1011101001,   31,    (93 3),   (373 1), 1,  0,  3,  8,   4,   14,  {5 149}
  747,   1000200,     1011101011,   14,   (373 1),   (187 2), 0,  2,  5,  10,  6,   16,  {3 83}
  749,   1000202,     1011101101,   14,   (187 2),   (375 1), 2,  4,  0,  1,   8,   1,   {7 107}
  751,   1000211,     1011101111,   50,   (375 1),    (47 4), 1,  1,  2,  3,   10,  3,   {751}
  753,   1000220,     1011110001,    4,    (47 4),   (377 1), 0,  3,  4,  5,   12,  5,   {3 251}
  755,   1000222,     1011110011,   21,   (377 1),   (189 2), 2,  0,  6,  7,   1,   7,   {5 151}
  757,   1001001,     1011110101,   38,   (189 2),   (379 1), 1,  2,  1,  9,   3,   9,   {757}
  759,   1001010,     1011110111,   19,   (379 1),    (95 3), 0,  4,  3,  0,   5,   11,  {3 11 23}
  761,   1001012,     1011111001,    9,    (95 3),   (381 1), 2,  1,  5,  2,   7,   13,  {761}
  763,   1001021,     1011111011,   55,   (381 1),   (191 2), 1,  3,  0,  4,   9,   15,  {7 109}
  765,   1001100,     1011111101,   14,   (191 2),   (383 1), 0,  0,  2,  6,   11,  0,   {3 5 17}
  767,   1001102,     1011111111,   19,   (383 1),     (3 8), 2,  2,  4,  8,   0,   2,   {13 59}
  769,   1001111,     1100000001,    9,     (3 8),   (385 1), 1,  4,  6,  10,  2,   4,   {769}
  771,   1001120,     1100000011,    9,   (385 1),   (193 2), 0,  1,  1,  1,   4,   6,   {3 257}
  773,   1001122,     1100000101,   43,   (193 2),   (387 1), 2,  3,  3,  3,   6,   8,   {773}
  775,   1001201,     1100000111,   55,   (387 1),    (97 3), 1,  0,  5,  5,   8,   10,  {5 31}
  777,   1001210,     1100001001,    9,    (97 3),   (389 1), 0,  2,  0,  7,   10,  12,  {3 7 37}
  779,   1001212,     1100001011,   19,   (389 1),   (195 2), 2,  4,  2,  9,   12,  14,  {19 41}
  781,   1001221,     1100001101,   43,   (195 2),   (391 1), 1,  1,  4,  0,   1,   16,  {11 71}
  783,   1002000,     1100001111,   43,   (391 1),    (49 4), 0,  3,  6,  2,   3,   1,   {3 29}
  785,   1002002,     1100010001,   43,    (49 4),   (393 1), 2,  0,  1,  4,   5,   3,   {5 157}
  787,   1002011,     1100010011,   19,   (393 1),   (197 2), 1,  2,  3,  6,   7,   5,   {787}
  789,   1002020,     1100010101,    7,   (197 2),   (395 1), 0,  4,  5,  8,   9,   7,   {3 263}
  791,   1002022,     1100010111,   26,   (395 1),    (99 3), 2,  1,  0,  10,  11,  9,   {7 113}
  793,   1002101,     1100011001,   26,    (99 3),   (397 1), 1,  3,  2,  1,   0,   11,  {13 61}
  795,   1002110,     1100011011,   36,   (397 1),   (199 2), 0,  0,  4,  3,   2,   13,  {3 5 53}
  797,   1002112,     1100011101,   43,   (199 2),   (399 1), 2,  2,  6,  5,   4,   15,  {797}
  799,   1002121,     1100011111,   24,   (399 1),    (25 5), 1,  4,  1,  7,   6,   0,   {17 47}
  801,   1002200,     1100100001,   19,    (25 5),   (401 1), 0,  1,  3,  9,   8,   2,   {3 89}
  803,   1002202,     1100100011,    4,   (401 1),   (201 2), 2,  3,  5,  0,   10,  4,   {11 73}
  805,   1002211,     1100100101,    4,   (201 2),   (403 1), 1,  0,  0,  2,   12,  6,   {5 7 23}
  807,   1002220,     1100100111,   24,   (403 1),   (101 3), 0,  2,  2,  4,   1,   8,   {3 269}
  809,   1002222,     1100101001,   14,   (101 3),   (405 1), 2,  4,  4,  6,   3,   10,  {809}
  811,   1010001,     1100101011,   48,   (405 1),   (203 2), 1,  1,  6,  8,   5,   12,  {811}
  813,   1010010,     1100101101,   12,   (203 2),   (407 1), 0,  3,  1,  10,  7,   14,  {3 271}
  815,   1010012,     1100101111,   48,   (407 1),    (51 4), 2,  0,  3,  1,   9,   16,  {5 163}
  817,   1010021,     1100110001,   12,    (51 4),   (409 1), 1,  2,  5,  3,   11,  1,   {19 43}
  819,   1010100,     1100110011,   12,   (409 1),   (205 2), 0,  4,  0,  5,   0,   3,   {3 7 13}
  821,   1010102,     1100110101,    7,   (205 2),   (411 1), 2,  1,  2,  7,   2,   5,   {821}
  823,   1010111,     1100110111,   48,   (411 1),   (103 3), 1,  3,  4,  9,   4,   7,   {823}
  825,   1010120,     1100111001,   48,   (103 3),   (413 1), 0,  0,  6,  0,   6,   9,   {3 5 11}
  827,   1010122,     1100111011,   12,   (413 1),   (207 2), 2,  2,  1,  2,   8,   11,  {827}
  829,   1010201,     1100111101,   31,   (207 2),   (415 1), 1,  4,  3,  4,   10,  13,  {829}
  831,   1010210,     1100111111,   48,   (415 1),    (13 6), 0,  1,  5,  6,   12,  15,  {3 277}
  833,   1010212,     1101000001,    7,    (13 6),   (417 1), 2,  3,  0,  8,   1,   0,   {7 17}
  835,   1010221,     1101000011,   48,   (417 1),   (209 2), 1,  0,  2,  10,  3,   2,   {5 167}
  837,   1011000,     1101000101,   12,   (209 2),   (419 1), 0,  2,  4,  1,   5,   4,   {3 31}
  839,   1011002,     1101000111,   29,   (419 1),   (105 3), 2,  4,  6,  3,   7,   6,   {839}
  841,   1011011,     1101001001,   12,   (105 3),   (421 1), 1,  1,  1,  5,   9,   8,   {29}
  843,   1011020,     1101001011,   12,   (421 1),   (211 2), 0,  3,  3,  7,   11,  10,  {3 281}
  845,   1011022,     1101001101,   12,   (211 2),   (423 1), 2,  0,  5,  9,   0,   12,  {5 13}
  847,   1011101,     1101001111,    9,   (423 1),    (53 4), 1,  2,  0,  0,   2,   14,  {7 11}
  849,   1011110,     1101010001,   19,    (53 4),   (425 1), 0,  4,  2,  2,   4,   16,  {3 283}
  851,   1011112,     1101010011,   19,   (425 1),   (213 2), 2,  1,  4,  4,   6,   1,   {23 37}
  853,   1011121,     1101010101,    2,   (213 2),   (427 1), 1,  3,  6,  6,   8,   3,   {853}
  855,   1011200,     1101010111,   17,   (427 1),   (107 3), 0,  0,  1,  8,   10,  5,   {3 5 19}
  857,   1011202,     1101011001,    7,   (107 3),   (429 1), 2,  2,  3,  10,  12,  7,   {857}
  859,   1011211,     1101011011,   53,   (429 1),   (215 2), 1,  4,  5,  1,   1,   9,   {859}
  861,   1011220,     1101011101,   36,   (215 2),   (431 1), 0,  1,  0,  3,   3,   11,  {3 7 41}
  863,   1011222,     1101011111,   12,   (431 1),    (27 5), 2,  3,  2,  5,   5,   13,  {863}
  865,   1012001,     1101100001,   53,    (27 5),   (433 1), 1,  0,  4,  7,   7,   15,  {5 173}
  867,   1012010,     1101100011,    7,   (433 1),   (217 2), 0,  2,  6,  9,   9,   0,   {3 17}
  869,   1012012,     1101100101,    7,   (217 2),   (435 1), 2,  4,  1,  0,   11,  2,   {11 79}
  871,   1012021,     1101100111,   65,   (435 1),   (109 3), 1,  1,  3,  2,   0,   4,   {13 67}
  873,   1012100,     1101101001,   53,   (109 3),   (437 1), 0,  3,  5,  4,   2,   6,   {3 97}
  875,   1012102,     1101101011,    7,   (437 1),   (219 2), 2,  0,  0,  6,   4,   8,   {5 7}
  877,   1012111,     1101101101,   17,   (219 2),   (439 1), 1,  2,  2,  8,   6,   10,  {877}
  879,   1012120,     1101101111,   53,   (439 1),    (55 4), 0,  4,  4,  10,  8,   12,  {3 293}
  881,   1012122,     1101110001,   41,    (55 4),   (441 1), 2,  1,  6,  1,   10,  14,  {881}
  883,   1012201,     1101110011,    7,   (441 1),   (221 2), 1,  3,  1,  3,   12,  16,  {883}
  885,   1012210,     1101110101,   41,   (221 2),   (443 1), 0,  0,  3,  5,   1,   1,   {3 5 59}
  887,   1012212,     1101110111,   17,   (443 1),   (111 3), 2,  2,  5,  7,   3,   3,   {887}
  889,   1012221,     1101111001,   53,   (111 3),   (445 1), 1,  4,  0,  9,   5,   5,   {7 127}
  891,   1020000,     1101111011,   14,   (445 1),   (223 2), 0,  1,  2,  0,   7,   7,   {3 11}
  893,   1020002,     1101111101,   24,   (223 2),   (447 1), 2,  3,  4,  2,   9,   9,   {19 47}
  895,   1020011,     1101111111,   34,   (447 1),     (7 7), 1,  0,  6,  4,   11,  11,  {5 179}
  897,   1020020,     1110000001,   22,     (7 7),   (449 1), 0,  2,  1,  6,   0,   13,  {3 13 23}
  899,   1020022,     1110000011,   41,   (449 1),   (225 2), 2,  4,  3,  8,   2,   15,  {29 31}
  901,   1020101,     1110000101,   17,   (225 2),   (451 1), 1,  1,  5,  10,  4,   0,   {17 53}
  903,   1020110,     1110000111,   41,   (451 1),   (113 3), 0,  3,  0,  1,   6,   2,   {3 7 43}
  905,   1020112,     1110001001,   22,   (113 3),   (453 1), 2,  0,  2,  3,   8,   4,   {5 181}
  907,   1020121,     1110001011,   17,   (453 1),   (227 2), 1,  2,  4,  5,   10,  6,   {907}
  909,   1020200,     1110001101,    2,   (227 2),   (455 1), 0,  4,  6,  7,   12,  8,   {3 101}
  911,   1020202,     1110001111,   12,   (455 1),    (57 4), 2,  1,  1,  9,   1,   10,  {911}
  913,   1020211,     1110010001,   46,    (57 4),   (457 1), 1,  3,  3,  0,   3,   12,  {11 83}
  915,   1020220,     1110010011,   46,   (457 1),   (229 2), 0,  0,  5,  2,   5,   14,  {3 5 61}
  917,   1020222,     1110010101,   10,   (229 2),   (459 1), 2,  2,  0,  4,   7,   16,  {7 131}
  919,   1021001,     1110010111,   46,   (459 1),   (115 3), 1,  4,  2,  6,   9,   1,   {919}
  921,   1021010,     1110011001,   46,   (115 3),   (461 1), 0,  1,  4,  8,   11,  3,   {3 307}
  923,   1021012,     1110011011,   22,   (461 1),   (231 2), 2,  3,  6,  10,  0,   5,   {13 71}
  925,   1021021,     1110011101,   46,   (231 2),   (463 1), 1,  0,  1,  1,   2,   7,   {5 37}
  927,   1021100,     1110011111,   41,   (463 1),    (29 5), 0,  2,  3,  3,   4,   9,   {3 103}
  929,   1021102,     1110100001,   46,    (29 5),   (465 1), 2,  4,  5,  5,   6,   11,  {929}
  931,   1021111,     1110100011,   10,   (465 1),   (233 2), 1,  1,  0,  7,   8,   13,  {7 19}
  933,   1021120,     1110100101,   29,   (233 2),   (467 1), 0,  3,  2,  9,   10,  15,  {3 311}
  935,   1021122,     1110100111,   46,   (467 1),   (117 3), 2,  0,  4,  0,   12,  0,   {5 11 17}
  937,   1021201,     1110101001,   63,   (117 3),   (469 1), 1,  2,  6,  2,   1,   2,   {937}
